Number,Name
1,PWMOUT
2,FB
3,ISN
4,ISP
5,VC
6,CTRL
7,VREF
8,PWM
9,SYNC OR OPENLED
10,SS
11,RT
12,SHDN/UVLO
13,INTVCC
14,VIN
15,SENSE
16,GATE
17,GND
