Number,Name
1,DVCC
2,P1.0/TA0CLK/ACLK/A0/CA0
3,P1.1/TA0.0/A1/CA1
4,P1.2/TA0.1/A2/CA2
5,P1.3/ADC10CLK/CAOUT/VREF-/VEREF-/A3/CA3
6,CA4/TCK
7,A5/CA5/TMS
8,P2.0
9,P2.1
10,P2.2
11,P2.3
12,P2.4
13,P2.5
14,P1.6/TA0.1/
15,P1.7/SDI/SDA/CAOUT/A7/CA7/TDO/TDI
16,RST/NMI/SBWTDIO
17,TEST/SBWTCK
18,XOUT/P2.7
19,XIN/P2.6/TA0.1
20,DVSS
