Number,Name
1,IP+
2,IP+
3,IP+
4,IP+
5,IP+
6,IP+
7,IP–
8,IP–
9,IP–
10,IP–
11,IP–
12,IP–
13,NC
14,NC
15,GND
16,VZCR
17,FILTER
18,VIOUT
19,FAULT
20,VCC
21,VOC
22,FAULT_EN
23,NC
24,NC
