Number,Name
1,VBAT
1,NRST
2,PC13-TAMPER-RTC
3,PC 14-OSC 32.IN
4,PC 15-OSC 32 OU T
5,PDO-OS C IN
6,PD1-OS C OUT
8,PCO
9,PC1
10,PC2
11,PC3
12,VSSA
13,VDDA
14,PA O-WKUP
15,PA 1
16,PA 2
17,PA 2
64,VBAT
2,PB 12
33,PB 12
34,PB13
35,PB14
36,PB 15
37,PC6
38,PC7
39,PC8
40,PC9
41,PA 8
42,PA 9
43,PA 10
44,PA 11
45,PA 12
46,PA 13
47,Vss_2
48,VDD_2
49,VDD_2
2,PB 8
5,PB5
8,Vss_3
49,PA 14
50,PA 15
53,PC12
54,I PD2
60,BOOTO
2,PC4
2,PB1
17,PA 3
18,V ss_4
19,VDD_4
23,PA 7
26,PB o
