Number,Name
1,AIN3
2,GND
3,GND
4,GND
5,GND
6,GND
7,GND
8,GND
9,GND
10,GND
11,GND
12,CNVST
13,REF-
14,GND
15,REF+
16,GND
17,VDD
18,VDD
19,SCLK
20,CS
21,DIN
22,DGND
23,OVDD
24,DOUT
25,EOC
26,AIN0
27,AIN1
28,AIN2
