Number,Name
1,LDAC
2,ADDR0
3,AVDD
4,VOUTA
5,VOUTC
6,VOUTE
7,VOUTG
8,VREFIN
9,CLR
10,VOUTH
11,VOUTF
12,VOUTD
13,VOUTB
14,GND
15,SDA
16,SCL
