Number,Name
1,S0
2,A0
3,VW3/RW3
4,VH3/RH3
5,VL3/RL3
6,V+
7,VCC
8,VL0/RL0
9,VH0/RH0
10,VW0/RW0
11,CS
12,WP
13,SI
14,A1
15,VL1/RL1
16,VH1/RH1
17,VW1/RW1
18,VSS
19,V–
20,VW2/RW2
21,VH2/RL2
22,VL2/RL2
23,SCK
24,HOLD
