Number,Name
1,REFCOMP
2,GND
3,VDD
4,AD0
5,AD1
6,SCL
7,SDA
8,GND
9,GND
10,VDD
11,CH0
12,CH1
13,CH2
14,CH3
15,CH4
16,CH5
17,CH6
18,CH7
19,COM
20,VREF
