Number,Name
1,CS0/PS0
2,CS1/PS1
3,CS2
4,CS3
5,CMOD
6,VCC
7,VDD
8,VSS
9,SLD10
10,SLD11
11,SLD12
12,SLD13
13,SLD14
14,CS11/SLD20
15,CS12/SLD21
16,CS13/SLD22
17,CS14/SLD23
18,CS15/SLD24
19,CS5/SH/HI
20,CS4
21,I2C SDA
22,I2C SCL
23,HI/BUZ
24,XRES
