Number,Name
1,AIN3
2,AIN4
3,AIN5
4,AIN6
5,AIN7
6,AIN8
7,AIN9
8,AIN10
9,AIN11
10,AIN12
11,AIN13
12,CNVST/AIN14
13,REF-/AIN15
14,GND
15,REF+
16,GND
17,VDD
18,VDD
19,SCLK
20,CS
21,DIN
22,DGND
23,OVDD
24,DOUT
25,EOC
26,AIN0
27,AIN1
28,AIN2
